Board Number,Board Name,Latitude,Longitude,Enrolment,Funding,Region,Board Language,Board Type,Elementary,Secondary,Total,Funding_norm,Total_norm,Enrolment_norm
B28002,DSB Ontario North East,48.42508085714286,-80.89126571428572,6562,19559,North Region,English,Pub Dist Sch Brd (E/F),25.0,10.0,35,0.333716915995397,0.05226480836236934,0.025851622458597012
B28010,Algoma DSB,46.72060679555556,-84.01868096266668,9762,16757,North Region,English,Pub Dist Sch Brd (E/F),34.0,11.0,45,0.21429484720623962,0.06968641114982578,0.039750344210530884
B28029,Rainbow DSB,46.415759347826096,-81.18231608695652,12987,15926,North Region,English,Pub Dist Sch Brd (E/F),34.0,12.0,46,0.17887738140902698,0.07142857142857142,0.05375764972615175
B28037,Near North DSB,45.96362640316667,-79.55158105305556,9560,16549,North Region,English,Pub Dist Sch Brd (E/F),30.0,6.0,36,0.20542982568299023,0.05400696864111498,0.038872987399940065
B28045,Keewatin-Patricia DSB,50.096871304347836,-92.87879565217393,4226,21324,North Region,English,Pub Dist Sch Brd (E/F),17.0,6.0,23,0.4089417380556621,0.0313588850174216,0.015705555579685282
B28053,Rainy River DSB,48.72910214285715,-93.45905714285713,2034,23890,North Region,English,Pub Dist Sch Brd (E/F),11.0,3.0,14,0.5183054170395942,0.0156794425087108,0.006184931179610575
B28061,Lakehead DSB,48.48958384615386,-89.29187153846155,8560,15369,North Region,English,Pub Dist Sch Brd (E/F),22.0,4.0,26,0.155137876656864,0.036585365853658534,0.03452963685246072
B28070,Superior-Greenstone DSB,49.18639799999999,-87.07192,1189,32524,North Region,English,Pub Dist Sch Brd (E/F),10.0,5.0,15,0.8862890508460128,0.017421602787456445,0.0025147999669905357
B28100,CS public du Nord-Est de l'Ontario,47.80849461111111,-81.00265277777778,2024,27268,North Region,French,Pub Dist Sch Brd (E/F),10.0,8.0,18,0.6622767762008268,0.02264808362369338,0.006141497674135782
B28118,CS public du Grand Nord de l'Ontario,47.01047988264,-82.53474010599999,2629,27517,North Region,French,Pub Dist Sch Brd (E/F),17.0,8.0,25,0.6728892298512552,0.03484320557491289,0.00876922475536078
B29009,Northeastern CDSB,48.57453000000001,-80.7157,2232,20295,North Region,English,Cath Dist Sch Brd (E/F),12.0,1.0,13,0.3650854536930486,0.013937282229965157,0.0070449145880114835
B29017,Nipissing-Parry Sound CDSB,46.29005833333333,-79.41571666666667,2706,18826,North Region,English,Cath Dist Sch Brd (E/F),11.0,1.0,12,0.30247623918509997,0.012195121951219513,0.00910366274751669
B29025,Huron-Superior CDSB,46.89888694117648,-83.82544952941177,4016,18334,North Region,English,Cath Dist Sch Brd (E/F),16.0,1.0,17,0.2815070536589524,0.020905923344947737,0.01479345196471462
B29033,Sudbury CDSB,46.4968081575,-81.005727274,6325,15731,North Region,English,Cath Dist Sch Brd (E/F),16.0,4.0,20,0.1705664237309807,0.02613240418118467,0.02482224837884441
B29041,Northwest CDSB,49.184454,-92.78850000000001,1189,22939,North Region,English,Cath Dist Sch Brd (E/F),5.0,,5,0.4777735157481993,0.0,0.0025147999669905357
B29050,Kenora CDSB,49.98453166666666,-94.36896666666667,1233,22874,North Region,English,Cath Dist Sch Brd (E/F),5.0,1.0,6,0.47500319652218387,0.0017421602787456446,0.0027059073910796266
B29068,Thunder Bay CDSB,48.414844499999994,-89.25720000000001,6905,16195,North Region,English,Cath Dist Sch Brd (E/F),18.0,2.0,20,0.19034224097515237,0.02613240418118467,0.027341391696382424
B29076,Superior North CDSB,49.11174,-87.07363749999999,610,33671,North Region,English,Cath Dist Sch Brd (E/F),8.0,,8,0.935174530111239,0.005226480836236934,0.0
B29106,CSDC des Grandes Rivières,48.67972491888887,-81.4256624786111,5494,21514,North Region,French,Cath Dist Sch Brd (E/F),28.0,8.0,36,0.41703959425478415,0.05400696864111498,0.02121292407388908
B29114,CSDC Franco-Nord,46.359368749999994,-79.43880625,2535,23563,North Region,French,Cath Dist Sch Brd (E/F),13.0,3.0,16,0.5043685803179474,0.01916376306620209,0.008360949803897722
B29122,CSDC du Nouvel-Ontario,46.77669884210527,-81.94279910526318,5986,20327,North Region,French,Cath Dist Sch Brd (E/F),28.0,10.0,38,0.36644930315816393,0.05749128919860627,0.023349852543248912
B29130,CSDC des Aurores boréales,49.339209090909094,-89.05260909090909,815,35192,North Region,French,Cath Dist Sch Brd (E/F),10.0,1.0,11,1.0,0.010452961672473868,0.000890386862233264
B66001,Bluewater DSB,44.371286999999995,-81.07853500000002,17273,13550,West Region,English,Pub Dist Sch Brd (E/F),40.0,10.0,50,0.07761155862421686,0.078397212543554,0.07237325017264819
B66010,Avon Maitland DSB,43.528231688888894,-81.21921553333331,14758,14053,West Region,English,Pub Dist Sch Brd (E/F),36.0,9.0,45,0.09904956740399778,0.06968641114982578,0.061449723545737654
B66028,Greater Essex County DSB,42.23196675592538,-82.91936197910448,35845,12781,West Region,English,Pub Dist Sch Brd (E/F),54.0,14.0,68,0.04483655116566509,0.10975609756097561,0.15303795654043442
B66036,Lambton Kent DSB,42.728232656249986,-82.21380625000005,21109,13359,West Region,English,Pub Dist Sch Brd (E/F),52.0,12.0,64,0.06947108212930998,0.10278745644599303,0.08903434287277892
B66044,Thames Valley DSB,42.969871018750005,-81.17712262500001,80220,12664,West Region,English,Pub Dist Sch Brd (E/F),131.0,29.0,160,0.03984997655883732,0.2700348432055749,0.34577413708482996
B66052,Toronto DSB,43.721266079447325,-79.37916763385142,230847,13428,Toronto Region,English,Pub Dist Sch Brd (E/F),470.0,109.0,579,0.07241188253846481,1.0,1.0
B66060,Durham DSB,43.92214415569228,-78.97563731253847,74094,11991,East Region,English,Pub Dist Sch Brd (E/F),111.0,19.0,130,0.01116651749563142,0.21777003484320556,0.31916677163097157
B66079,Kawartha Pine Ridge DSB,44.126451510573034,-78.31839748157302,34177,12911,East Region,English,Pub Dist Sch Brd (E/F),73.0,16.0,89,0.050377189617695946,0.14634146341463414,0.14579324782723888
B66087,Trillium Lakelands DSB,44.7655375,-78.94877708333333,16735,13796,Central Region,English,Pub Dist Sch Brd (E/F),41.0,8.0,49,0.08809615138729063,0.07665505226480836,0.0700365275781043
B66095,York Region DSB,43.92554002031309,-79.41074505911212,124808,12354,Central Region,English,Pub Dist Sch Brd (E/F),180.0,34.0,214,0.026637684865532966,0.3641114982578397,0.5394354512958386
B66109,Simcoe County DSB,44.40188052443809,-79.72599604476189,54367,12346,Central Region,English,Pub Dist Sch Brd (E/F),89.0,16.0,105,0.026296722499254147,0.17421602787456447,0.2334854953808467
B66117,Upper Grand DSB,43.71174462025317,-80.28805675949364,34936,12757,West Region,English,Pub Dist Sch Brd (E/F),65.0,14.0,79,0.04381366406682862,0.1289198606271777,0.1490898508927757
B66125,Peel DSB,43.66102853488375,-79.71905639534882,150607,12512,Central Region,English,Pub Dist Sch Brd (E/F),219.0,39.0,258,0.0333716915995397,0.44076655052264807,0.651489552070258
B66133,Halton DSB,43.45955555276851,-79.80836941370366,65803,11920,Central Region,English,Pub Dist Sch Brd (E/F),90.0,18.0,108,0.008140476494906875,0.1794425087108014,0.2831560522418204
B66141,Hamilton-Wentworth DSB,43.23654263666667,-79.867088619798,49712,12660,West Region,English,Pub Dist Sch Brd (E/F),82.0,17.0,99,0.039679495375697905,0.16376306620209058,0.21326719858233037
B66150,DSB Niagara,43.10024510638298,-79.24193897872338,39265,12763,West Region,English,Pub Dist Sch Brd (E/F),79.0,17.0,96,0.04406938584153774,0.15853658536585366,0.16789221541281374
B66168,Grand Erie DSB,43.033829861111116,-80.23309180555553,25761,12911,West Region,English,Pub Dist Sch Brd (E/F),58.0,14.0,72,0.050377189617695946,0.11672473867595819,0.10923960961965279
B66176,Waterloo Region DSB,43.43388265853656,-80.47100038211389,64153,12071,West Region,English,Pub Dist Sch Brd (E/F),106.0,17.0,123,0.01457614115841964,0.20557491289198607,0.27598952383847947
B66184,Ottawa-Carleton DSB,45.35789002686667,-75.71471408580003,73367,12998,East Region,English,Pub Dist Sch Brd (E/F),120.0,31.0,151,0.05408515535097814,0.25435540069686413,0.3160091557829541
B66192,Upper Canada DSB,44.95650673684211,-75.5843663157895,26125,14733,East Region,English,Pub Dist Sch Brd (E/F),75.0,22.0,97,0.12803136853769764,0.1602787456445993,0.11082058921893527
B66206,Limestone DSB,44.32875099999999,-76.63504569281247,19371,14103,East Region,English,Pub Dist Sch Brd (E/F),50.0,14.0,64,0.10118058219324041,0.10278745644599303,0.08148559962125983
B66214,Renfrew County DSB,45.645120689655165,-77.07075172413792,8895,15618,East Region,English,Pub Dist Sch Brd (E/F),21.0,8.0,29,0.16575033030729233,0.041811846689895474,0.035984659285866305
B66222,Hastings & Prince Edward DSB,44.32884595434884,-77.49445065883722,14801,14283,East Region,English,Pub Dist Sch Brd (E/F),38.0,7.0,45,0.10885223543451392,0.06968641114982578,0.061636487619279264
B66303,CS Viamonde,43.54043105178082,-79.9802694649315,13105,18175,Toronto Region,French,Pub Dist Sch Brd (E/F),58.0,16.0,74,0.2747304266291608,0.12020905923344948,0.05427016509075431
B66311,CÉP de l'Est de l'Ontario,45.22808425288462,-75.70343012057691,16830,16465,East Region,French,Pub Dist Sch Brd (E/F),37.0,15.0,52,0.2018497208370626,0.08188153310104529,0.07044914588011483
B67016,Huron Perth CDSB,43.48645166666667,-81.27314444444444,4576,15294,West Region,English,Cath Dist Sch Brd (E/F),16.0,2.0,18,0.15194135447300006,0.02264808362369338,0.01722572827130305
B67032,London District Catholic School Board,42.966753846153864,-81.22613846153847,22502,12914,West Region,English,Cath Dist Sch Brd (E/F),43.0,10.0,53,0.050505050505050504,0.08362369337979095,0.09508463018541763
B67040,St Clair CDSB,42.737451173913044,-82.24519121739131,8629,13809,West Region,English,Cath Dist Sch Brd (E/F),23.0,2.0,25,0.08865021523249371,0.03484320557491289,0.0348293280402368
B67059,Toronto CDSB,43.720782351707314,-79.40085194736587,84032,13532,Toronto Region,English,Cath Dist Sch Brd (E/F),167.0,38.0,205,0.0768443933000895,0.34843205574912894,0.36233098937182123
B67067,Peterborough Victoria Northum Clarington CDSB,44.16685388888889,-78.42774166666669,14666,13351,East Region,English,Cath Dist Sch Brd (E/F),30.0,7.0,37,0.06913011976303116,0.05574912891986063,0.061050135295369554
B67075,York CDSB,43.9036439423077,-79.45783519230774,50315,12503,Central Region,English,Cath Dist Sch Brd (E/F),88.0,16.0,104,0.03298810893747603,0.17247386759581881,0.21588623896246042
B67083,Dufferin-Peel CDSB,43.65536448026317,-79.72103442105264,73312,12639,Central Region,English,Cath Dist Sch Brd (E/F),126.0,26.0,152,0.038784469164216,0.25609756097560976,0.3157702715028427
B67091,Simcoe Muskoka CDSB,44.44265235294115,-79.70028588235294,22172,12672,Central Region,English,Cath Dist Sch Brd (E/F),42.0,9.0,51,0.04019093892511614,0.08013937282229965,0.09365132450474946
B67105,Durham CDSB,43.90974579166666,-78.97015725,21459,12545,East Region,English,Cath Dist Sch Brd (E/F),40.0,8.0,48,0.03477816136043984,0.07491289198606271,0.09055451556439668
B67113,Halton CDSB,43.45767075650878,-79.79747682789473,35844,11729,Central Region,English,Cath Dist Sch Brd (E/F),45.0,12.0,57,0.0,0.09059233449477352,0.15303361318988695
B67121,Hamilton-Wentworth CDSB,43.22667859649121,-79.85238508771927,29263,12638,West Region,English,Cath Dist Sch Brd (E/F),49.0,8.0,57,0.03874184886843115,0.09059233449477352,0.12445002323692543
B67130,Wellington CDSB,43.602607727272726,-80.28157727272726,8106,13730,West Region,English,Cath Dist Sch Brd (E/F),18.0,4.0,22,0.08528321186549034,0.029616724738675958,0.03255775570390511
B67148,Waterloo CDSB,43.424862244897966,-80.44164102040816,24231,12419,West Region,English,Cath Dist Sch Brd (E/F),44.0,6.0,50,0.029408004091548395,0.078397212543554,0.10259428328200941
B67156,Niagara CDSB,43.08495860806779,-79.23286053983051,20385,12991,West Region,English,Cath Dist Sch Brd (E/F),49.0,11.0,60,0.053786813280484166,0.09581881533101046,0.08588975707640388
B67172,CDSB of Eastern Ontario,45.01367081632653,-75.46566122448979,13205,15226,East Region,English,Cath Dist Sch Brd (E/F),38.0,11.0,49,0.14904317435963005,0.07665505226480836,0.054704500145502245
B67180,Ottawa CSB,45.35389700000003,-75.71882599999998,44713,13120,East Region,English,Cath Dist Sch Brd (E/F),84.0,16.0,100,0.05928483143673017,0.16550522648083624,0.1915547891954812
B67199,Renfrew County CDSB,45.65072000000001,-77.03830454545455,4742,16469,East Region,English,Cath Dist Sch Brd (E/F),20.0,2.0,22,0.20202020202020202,0.029616724738675958,0.017946724462184618
B67300,Conseil scolaire catholique Providence,42.64196047222221,-82.24859316666668,9465,17137,West Region,French,Cath Dist Sch Brd (E/F),28.0,8.0,36,0.23049055960448364,0.05400696864111498,0.03846036909792953
B67318,CS catholique MonAvenir,43.673275068493155,-79.56071095890408,16287,17477,Toronto Region,French,Cath Dist Sch Brd (E/F),60.0,13.0,73,0.2449814601713336,0.11846689895470383,0.06809070653283356
B67326,CSDC de l'Est ontarien,45.37563948717949,-74.95438205128202,10410,17468,East Region,French,Cath Dist Sch Brd (E/F),32.0,7.0,39,0.24459787750926992,0.059233449477351915,0.042564835365297496
B67334,CSDC du Centre-Est de l'Ontario,45.268512608916666,-75.8159641963889,25510,15507,East Region,French,Cath Dist Sch Brd (E/F),57.0,15.0,72,0.16101947747517367,0.11672473867595819,0.10814942863223548
